_id,Name,Rating,Ease of preparation,Type,Preparation time,Ingredients,Calories,Daily value,Servings,Web Source
ObjectId(6361833192d656cf886a136f),Pasta alla Gricia,5,Fairly easy,Main Dish,30,"[{""Amount"":""1/2 to 2 ounces"",""Ingredient"":""guanciale""},{""Amount"":""2 tablespoons"",""Ingredient"":""grated Pecorino Romano""},{""Amount"":""4 ounces"",""Ingredient"":""dried pasta""}]",173,9%,4,Serious Eats
ObjectId(6361833192d656cf886a1370),Green Coriander Dressing,4,Super Simple,Dressing,10,"[{""Amount"":""1 tsp"",""Ingredient"":""green coriander seeds""},{""Amount"":""1 tablespoon"",""Ingredient"":""champagne vinegar""},{""Amount"":""1 teaspoon"",""Ingredient"":""fine mustard (such as Maille)""},{""Amount"":""3 tablespoons"",""Ingredient"":""olive oil""},{""Amount"":""1 tablespoon"",""Ingredient"":""mascarpone or heavy cream""},{""Amount"":""1 tablespoon"",""Ingredient"":""minced shallot, salt and pepper""}]",214,11%,2,Not Without Salt
ObjectId(6361833192d656cf886a1371),Buttermilk Barley Biscuits,5,Hard,Dessert,60,"[{""Amount"":""1/4 cups"",""Ingredient"":""barley flour""},{""Amount"":""1/4 cups"",""Ingredient"":""all-purpose flour""},{""Amount"":""2 teaspoons"",""Ingredient"":""sugar""},{""Amount"":""1 1/2 teaspoons"",""Ingredient"":""baking powder""},{""Amount"":""1/2 teaspoon"",""Ingredient"":""baking soda""},{""Amount"":""1 teaspoon"",""Ingredient"":""salt""},{""Amount"":""1 cup"",""Ingredient"":""buttermilk""},{""Amount"":""1/4 cup (1/2 stick)"",""Ingredient"":""butter, melted""}]",218,11%,8,Lottie + Doof
ObjectId(6361833192d656cf886a1372),The Ludwig,3,Super Simple,Drink,5,"[{""Amount"":""1.5 ounces"",""Ingredient"":""basil-infused reposado tequila""},{""Amount"":""0.75 ounce"",""Ingredient"":""cantaloupe juice""},{""Amount"":""0.5 ounce"",""Ingredient"":""Barenjager""},{""Amount"":""0.5 ounce"",""Ingredient"":""lime juice""},{""Amount"":""one"",""Ingredient"":""Thin lime circle, for garnish""}]",77,4%,2,Ruhlman
ObjectId(6361833192d656cf886a1373),Shanghai-Style Spring Rolls,4,Average,Main Dish,80,"[{""Amount"":""3 tablespoons"",""Ingredient"":""oil""},{""Amount"":""6 cups"",""Ingredient"":""shredded napa cabbage""},{""Amount"":""6 ounces"",""Ingredient"":""pork shoulder, trimmed of gristle, cut into 1/4 inch by 2 inch slices""},{""Amount"":""a pinch"",""Ingredient"":""Salt""},{""Amount"":""2 teaspoons"",""Ingredient"":""cornstarch""},{""Amount"":""3 tablespoons"",""Ingredient"":""water""},{""Amount"":""1 quart"",""Ingredient"":""oil for deep-frying""}]",1070,53%,8,Serious Eats
ObjectId(6361833192d656cf886a1374),Chocolate Almond Turron,5,Fairly easy,Dessert,30,"[{""Amount"":""(3.5-oz)"",""Ingredient"":""dark chocolate bars""},{""Amount"":""1/2 cup"",""Ingredient"":""whole toasted almonds""}]",241,12%,4,Que Rica Vida
ObjectId(6361833192d656cf886a1375),Spiced root vegetable soup,3,Average,Soup,70,"[{""Amount"":""2 tbsp"",""Ingredient"":""olive oil""},{""Amount"":""2"",""Ingredient"":""onions, finely chopped""},{""Amount"":""2"",""Ingredient"":""sweet potatoes, chopped""},{""Amount"":""2"",""Ingredient"":""carrots, chopped""},{""Amount"":""2"",""Ingredient"":""parsnips, chopped""},{""Amount"":""1"",""Ingredient"":""red chilli, roughly chopped""},{""Amount"":""1 tbsp"",""Ingredient"":""ground cumin""},{""Amount"":""75g"",""Ingredient"":""dried green lentils""},{""Amount"":""1.3l vegetable stock""},{""Amount"":""425ml"",""Ingredient"":""milk""},{""Amount"":""100g"",""Ingredient"":""Greek yogurt""},{""Amount"":""1 tbsp"",""Ingredient"":""coriander leaves, chopped""}]",371,19%,4,BBC Good Food
ObjectId(6361833192d656cf886a1376),Summer Potato Salad,5,Average,Salad,120,"[{""Amount"":""500g"",""Ingredient"":""potatoes""},{""Amount"":""200g"",""Ingredient"":""freshly shelled or frozen peas""},{""Amount"":""0.5"",""Ingredient"":""chopped red onion""},{""Amount"":""60g"",""Ingredient"":""crumbled feta""},{""Amount"":""60g"",""Ingredient"":""roughly chopped hazelnuts""},{""Amount"":""2 tablespoons"",""Ingredient"":""chopped fresh dill""},{""Amount"":""50g"",""Ingredient"":""low fat creme fraiche""},{""Amount"":""2 teaspoons"",""Ingredient"":""dijon mustard""},{""Amount"":""1-2 teaspoons"",""Ingredient"":""honey""},{""Amount"":""0.5"",""Ingredient"":""lemon squeezed into juice""}]",313,16%,4,Honest Cooking
ObjectId(6361833192d656cf886a1377),Buttermilk Cornbread Sage Dressing,3,Fairly easy,Dressing,30,"[{""Amount"":""4 cups"",""Ingredient"":""buttermilk cornbread crumbs""},{""Amount"":""2 cups"",""Ingredient"":""biscuit, roll or white bread crumbs""},{""Amount"":""2"",""Ingredient"":""medium white onions""},{""Amount"":""4 stalks"",""Ingredient"":""celery""},{""Amount"":""1/2 tablespoons"",""Ingredient"":""parsley""},{""Amount"":""1/2 teaspoon"",""Ingredient"":""salt""},{""Amount"":""1 tablespoon"",""Ingredient"":""poultry seasoning""},{""Amount"":""1 teaspoon"",""Ingredient"":""chopped fresh sage""},{""Amount"":""1/4 teaspoon"",""Ingredient"":""pepper""},{""Amount"":""1/4 stick"",""Ingredient"":""melted butter""},{""Amount"":""3 1/2 cups"",""Ingredient"":""chicken broth""}]",284,14%,12,The Bitten Word
ObjectId(6361833192d656cf886a1378),Brazilian white corn porridge,4,Super Simple,Breakfast,20,"[{""Amount"":""1000 grams"",""Ingredient"":""canjica (white corn)""},{""Amount"":""1 1/2 liters"",""Ingredient"":""milk""},{""Amount"":""800 grams"",""Ingredient"":""sweet condensed milk""},{""Amount"":""200 grams"",""Ingredient"":""cream""},{""Amount"":""1/2 cup"",""Ingredient"":""toasted and ground peanuts""},{""Amount"":""2 pinches"",""Ingredient"":""cinnamon""},{""Amount"":""a pinch"",""Ingredient"":""Sugar to taste""},{""Amount"":""4 liters"",""Ingredient"":""water""}]",194,10%,30,Food52
